District,Population,Births,BCG issued,OPV issued,Penta,Pneumo,Measles,YF,TT,Total Vaccine Qte (in year),Total Vaccine Volume (L),Capacity Requirements per month
Region1_district1,"251,072","11,133",4000,6000,4550,0,500,2000,3000,20050,189.745,15.81208333
Region1_district2,"227,605","10,092",10800,19820,18348,1340,-220,4820,19510,74418,770.7982,64.23318333
Region1_district3,"550,989","24,431",19980,43710,41158,2000,14770,21780,24800,168198,1864.6942,155.3911833
Region1_district4,"208,384","9,240",0,0,4000,0,3120,1960,0,9080,150.952,12.57933333
Region1_district5,"466,217","20,672",14840,26750,23750,-7315,6280,6985,15770,87060,617.515,51.45958333
Region1_district6,"247,382","10,969",10480,10840,19932,7456,7880,18630,14170,89388,1263.3054,105.27545
Region1_district7,"191,521","8,492",6900,16080,16890,586,2730,4920,18730,66836,707.9636,58.99696667
Region2_district1,"204,178","9,053",8920,25890,14088,0,10730,9495,9180,78303,773.4722,64.45601667
Region2_district2,"260,201","11,537",11940,18000,21000,2900,7490,7600,14400,83330,1003.328,83.61066667
Region2_district3,"267,012","11,839",14800,36410,19147,0,13520,12445,25140,121462,1127.6623,93.97185833
Region2_district4,"108,102","4,793",4120,9960,9000,-790,3240,3140,6690,35360,343.271,28.60591667
Region2_district5,"854,111","37,871",10080,28000,16300,0,4500,6650,21400,86930,797.404,66.45033333
Region2_district6,"251,064","11,132",1860,5510,3590,0,1660,1260,1110,14990,155.98,12.99833333
Region2_district7,"226,576","10,046",8060,20890,13500,0,3400,6150,11150,63150,607.743,50.64525
Region2_district8,"260,800","11,564",5800,15930,8740,0,8350,2450,4600,45870,465.346,38.77883333
Region2_district9,"163,511","7,250",10600,36450,15368,0,8040,8145,36500,115103,981.3782,81.78151667
Region3_district1,"493,189","21,868",27500,61300,51900,27450,12000,23300,46560,250010,3539.378,294.9481667
Region3_district2,"257,283","11,408",0,0,0,0,0,0,0,0,0,0
Region3_district3,"109,014","4,834",7180,14770,14270,4403,4050,5135,4930,54738,760.8778,63.40648333
Region3_district4,"217,469","9,643",0,0,0,0,0,0,0,0,0,0
Region3_district5,"617,417","27,376",21800,35410,33400,23727,-7480,11565,17000,135422,2228.8542,185.73785
Region3_district6,"70,041","3,106",7420,8430,8126,2935,2990,3355,7400,40656,509.2244,42.43536667
Region3_district7,"669,656","29,693",21960,83300,50911,29626,16160,33300,22240,257497,3710.9325,309.244375
Region3_district8,"157,309","6,975",5740,22520,9540,2090,3550,4275,7350,55065,580.432,48.36933333
Region3_district9,"227,011","10,066",26940,38490,29650,20748,8940,14890,24560,164218,2355.1918,196.2659833
Region4_district1,"218,469","9,687",10060,28140,26664,4450,2150,11665,6860,89989,1158.5186,96.54321667
Region4_district2,"304,454","13,500",18140,43260,38407,4647,14630,13295,25280,157659,1842.4515,153.537625
Region4_district3,"254,883","11,302",11940,28980,28904,4840,9580,12390,15330,111964,1404.6506,117.0542167
Region4_district4,"236,337","10,479",11980,27870,22376,5859,5700,8160,16920,98865,1219.1768,101.5980667
Region4_district5,"392,229","17,391",10740,31000,24817,0,17750,8205,12520,105032,1150.9073,95.90894167
Region4_district6,"359,459","15,938",19440,36000,38100,-400,8390,22680,17500,141710,1513.48,126.1233333
Region4_district7,"505,695","22,423",18140,50620,42262,7000,164660,13715,25810,322207,4243.3978,353.6164833
Region4_district8,"235,967","10,463",8880,24250,20909,0,6180,5995,20960,87174,890.2941,74.191175
Region5_district1,"341,271","15,132",16440,34370,26110,1953,7850,8835,20850,116408,1226.5378,102.2114833
Region5_district2,"282,756","12,537",10000,22000,8000,0,10000,8900,11000,69900,620.16,51.68
Region5_district3,"222,451","9,863",13000,12000,22000,0,16500,6000,11500,81000,957.65,79.80416667
Region5_district4,"265,956","11,793",8060,15610,12640,600,4420,6470,8960,56760,594.968,49.58066667
Region5_district5,"388,473","17,225",4500,9500,11000,2000,4402,8000,5000,44402,570.7888,47.56573333
Region5_district6,"395,522","17,537",4000,19000,8150,2000,2000,2000,5000,42150,462.985,38.58208333
Region5_district7,"175,635","7,788",0,0,0,0,0,0,0,0,0,0
Region5_district8,"114,594","5,081",4840,8500,3500,0,7000,1000,5500,30340,282.392,23.53266667
Region6_district1,"119,484","5,298",9260,13270,11233,5267,4970,4685,10640,59325,780.8889,65.074075
Region6_district2,"161,155","7,146",7420,11630,8236,5372,4300,4200,9530,50688,683.8606,56.98838333
Region6_district3,"119,550","5,301",7380,15200,6034,4110,4100,3605,8740,49169,579.8136,48.3178
Region6_district4,"197,792","8,770",8420,20050,13030,-7060,6590,6370,10900,58300,304.991,25.41591667
Region6_district5,"133,675","5,927",14920,18180,14323,8867,6260,7435,13450,83435,1128.1069,94.00890833
Region7_district1,"141,895","6,292",4000,10090,12871,1055,7440,6515,8080,50051,617.0239,51.41865833
Region7_district2,"124,457","5,518",6360,10040,9030,2568,4090,6305,9950,48343,575.2098,47.93415
Region7_district3,"257,433","11,415",10410,19520,22070,7700,7700,6700,10650,84750,1227.966,102.3305
Region7_district4,"60,216","2,670",3380,6660,4910,1040,3550,1265,7210,28015,311.611,25.96758333
Region8_district1,"11,040",490,440,1040,953,423,530,500,570,4456,63.8005,5.316708333
Region8_district2,"35,512","1,575",1700,2260,3062,2720,2270,1170,3170,16352,277.9468,23.16223333
Region8_district3,"17,483",775,1020,2240,1732,170,280,960,1360,7762,82.7228,6.893566667
Region8_district4,"8,561",380,480,490,478,439,340,470,420,3117,47.5986,3.96655
Region9_district1,"359,991","15,962",15360,44350,37311,24741,1310,10250,17930,151252,2503.0735,208.5894583
Region9_district2,"171,518","7,605",6000,20760,15360,12157,4150,3300,13090,74817,1214.9042,101.2420167
Region9_district3,"138,318","6,133",7100,11870,9922,9550,4060,4945,6070,53517,901.3898,75.11581667
Region9_district4,"322,080","14,281",4008,8000,9000,0,1500,500,5000,28008,310.1304,25.8442
Region9_district5,"445,062","19,734",21240,58630,42090,24740,9956,11850,22330,190836,2868.6924,239.0577
Region9_district6,"504,738","22,380",11600,25450,28100,19000,-6230,7795,12960,98675,1756.329,146.36075
